ID;ORDERID;ITEMID;AMOUNT;UNITPRICE;LINETOTAL
70016;12786;22245;8;121.490;971.916
70017;12786;25942;4;141.437;565.750
70018;12787;26868;10;86.691;866.910
70019;12786;15982;9;108.172;973.544
70020;12787;18674;1;106.114;106.114
70021;12786;3468;5;11.611;58.055
70022;12787;15022;4;19.262;77.050
70023;12787;8249;5;166.851;834.254
70024;12788;12641;5;12.820;64.102
70025;12787;15632;7;61.697;431.882
70026;12788;2019;10;43.829;438.289
70027;12787;21471;1;107.247;107.247
70028;12788;12585;10;278.216;2.782.161
70029;12788;210;8;43.346;346.769
70030;12789;3859;9;37.818;340.362
70031;12788;16673;8;59.642;477.139
70032;12789;27365;3;250.349;751.048
70033;12788;24359;9;80.604;725.440
70034;12789;10198;8;14.936;119.489
70035;12788;18202;3;113.330;339.990
70036;12789;22643;2;11.273;22.545
70037;12788;11370;10;0.7303;73.033
70038;12789;2624;9;1.809.409;16.284.684
70039;12788;12761;4;529.206;2.116.825
70040;12789;13428;7;227.858;1.595.003
70041;12788;26005;10;63.999;639.987
70042;12789;6477;4;155.919;623.677
70043;12790;19665;5;73.927;369.637
70044;12789;19965;10;25.327;253.272
70045;12790;17060;5;25.463;127.313
70046;12790;27426;10;180.554;1.805.541
70047;12790;21006;1;55.609;55.609
70048;12791;10161;6;214.551;1.287.305
70049;12790;26268;6;92.106;552.634
70050;12791;27253;10;173.996;1.739.957
70051;12791;21068;7;109.860;769.021
70052;12792;22972;5;26.571;132.857
70053;12791;11550;5;172.006;860.029
70054;12792;285;7;31.671;221.698
70055;12791;24754;4;16.347;65.388
70056;12792;15112;5;106.654;533.268
70057;12791;17230;3;17.281;51.842
70058;12792;21363;7;28.851;201.957
70059;12791;16190;8;117.129;937.029
70060;12792;13744;2;66.660;133.320
70061;12791;25573;2;377.233;754.466
70062;12791;14992;6;76.527;459.162
70063;12793;24173;3;3.232.285;9.696.855
70064;12791;24370;4;133.596;534.383
70065;12794;8763;7;268.835;1.881.842
70066;12795;14811;2;75.579;151.158
70067;12794;11361;10;65.831;658.309
70068;12795;26376;6;35.853;215.115
70069;12794;20063;1;67.885;67.885
70070;12795;13722;10;63.393;633.927
70071;12795;22481;8;283.876;2.271.007
70072;12796;13549;9;68.777;618.996
70073;12795;5794;1;229.126;229.126
70074;12796;2084;1;82.510;82.510
70075;12795;24746;7;107.320;751.239
70076;12797;9126;5;84.558;422.791
70077;12795;1696;10;33.813;338.127
70078;12797;5548;4;133.418;533.673
70079;12795;3992;1;32.705;32.705
70080;12795;20786;8;206.840;1.654.719
70081;12798;8521;3;46.239;138.716
70082;12795;5849;8;112.399;899.191
70083;12798;24596;9;17.095;153.853
70084;12798;27679;8;137.904;1.103.230
70085;12799;4779;4;351.028;1.404.113
70086;12799;20446;9;101.603;914.425
70087;12800;19637;3;150.276;450.827
70088;12799;23964;4;12.911;51.646
70089;12800;27335;3;165.354;496.063
70090;12800;5250;8;35.671;285.370
70091;12799;17013;10;31.736;317.361
70092;12800;17297;7;28.509;199.566
70093;12799;23845;8;0.6408;51.266
70094;12799;625;8;13.629;109.030
70095;12800;12348;6;142.689;856.134
70096;12800;10391;9;12.584;113.252
70097;12801;19517;6;31.988;191.928
70098;12800;9534;9;140.756;1.266.803
70099;12801;21325;3;58.862;176.587
70100;12800;12621;5;66.277;331.383
70101;12801;14457;9;18.178;163.598
70102;12800;19097;3;86.256;258.768
70103;12801;15222;3;56.939;170.818
70104;12801;3858;5;22.829;114.145
70105;12802;20159;7;89.343;625.401
70106;12801;24790;9;12.190;109.712
70107;12803;10374;3;60.906;182.718
70108;12801;9644;6;21.612;129.674
70109;12803;20917;2;171.403;342.807
70110;12804;5290;9;45.972;413.748
70111;12803;3158;10;260.410;2.604.095
70112;12804;371;10;56.179;561.793
70113;12803;7450;7;56.988;398.913
70114;12804;17888;1;145.905;145.905
70115;12803;4560;5;231.635;1.158.177
70116;12804;10572;7;244.379;1.710.655
70117;12804;26133;8;69.880;559.041
70118;12805;16548;2;184.409;368.818
70119;12804;10925;2;196.922;393.843
70120;12805;944;7;318.039;2.226.272
70121;12804;20707;8;50.867;406.936
70122;12805;8122;1;53.855;53.855
70123;12805;27000;8;278.960;2.231.677
70124;12806;6704;3;26.342;79.027
70125;12805;14952;6;235.153;1.410.921
70126;12806;25454;3;0.5263;15.789
70127;12805;13033;4;118.552;474.206
70128;12806;25050;7;49.351;345.457
70129;12805;2316;2;47.932;95.864
70130;12806;2692;5;36.373;181.867
70131;12805;2296;1;49.012;49.012
70132;12806;5038;7;32.577;228.041
70133;12805;7696;3;111.077;333.231
70134;12806;3732;7;34.263;239.842
70135;12805;9727;7;194.178;1.359.245
70136;12806;10105;4;49.288;197.151
70137;12806;11278;1;118.034;118.034
70138;12807;11895;5;269.697;1.348.487
70139;12806;22125;3;45.196;135.588
70140;12807;12500;10;81.216;812.155
70141;12806;476;7;284.104;1.988.728
70142;12807;17700;4;15.133;60.531
70143;12807;4926;1;235.349;235.349
70144;12808;6671;2;0.2623;0.5246
70145;12807;6605;10;35.660;356.601
70146;12808;19924;5;12.916;64.580
70147;12807;22980;3;102.363;307.089
70148;12808;9766;10;34.040;340.405
70149;12807;4489;8;57.296;458.367
70150;12808;10117;9;559.146;5.032.312
70151;12807;19120;6;219.810;1.318.861
70152;12808;11772;2;118.272;236.544
70153;12807;27873;4;78.576;314.306
70154;12808;9238;7;114.564;801.948
70155;12807;8138;5;97.332;486.661
70156;12808;15304;7;533.528;3.734.695
70157;12809;11303;8;12.552;100.413
70158;12808;17300;2;52.372;104.744
70159;12809;5111;6;50.515;303.090
70160;12810;12785;5;353.930;1.769.649
70161;12811;24313;3;111.506;334.519
70162;12810;20818;5;172.644;863.219
70163;12811;5005;4;77.337;309.349
70164;12810;6954;2;127.330;254.659
70165;12811;176;10;46.212;462.120
70166;12810;23066;8;67.314;538.515
70167;12810;16304;3;0.6839;20.516
70168;12812;4627;6;108.983;653.900
70169;12810;14430;8;19.609;156.872
70170;12812;6449;7;63.102;441.712
70171;12812;14329;4;12.733;50.931
70172;12813;16233;7;54.035;378.248
70173;12812;12750;7;81.720;572.040
70174;12813;23608;3;81.257;243.770
70175;12812;18064;2;72.566;145.132
70176;12813;12552;2;111.760;223.521
70177;12814;12075;2;11.082;22.165
70178;12815;21750;2;403.985;807.970
70179;12814;11888;1;403.374;403.374
70180;12815;22798;3;0.7717;23.150
70181;12814;10853;3;78.455;235.364
70182;12815;8830;9;59.678;537.106
70183;12814;6225;3;76.143;228.428
70184;12814;307;9;149.977;1.349.797
70185;12816;13133;7;34.611;242.276
70186;12817;17266;3;15.396;46.189
70187;12818;11118;3;171.958;515.873
70188;12817;16263;9;0.3462;31.154
70189;12818;25558;8;378.028;3.024.220
70190;12817;10646;5;27.714;138.571
70191;12818;11665;5;22.311;111.556
70192;12817;7125;9;193.197;1.738.771
70193;12818;13866;3;148.827;446.482
70194;12817;23569;7;92.694;648.861
70195;12818;13079;7;101.436;710.052
70196;12819;26657;4;44.218;176.873
70197;12820;4207;2;89.431;178.862
70198;12819;14984;3;165.580;496.741
70199;12820;18490;3;96.905;290.714
70200;12819;4811;7;120.330;842.313
70201;12820;12646;10;872.505;8.725.051
70202;12819;10911;1;131.677;131.677
70203;12820;21215;3;379.890;1.139.669
70204;12819;20671;10;215.469;2.154.689
70205;12819;8400;5;139.768;698.839
70206;12821;6943;9;24.302;218.716
70207;12819;1334;5;164.611;823.055
70208;12821;27989;2;34.107;68.215
70209;12819;9399;5;131.200;655.999
70210;12821;25593;5;572.152;2.860.762
70211;12819;18156;4;120.016;480.064
70212;12821;5280;7;102.029;714.204
70213;12819;19848;10;593.653;5.936.527
70214;12822;25058;4;25.674;102.695
70215;12823;5234;3;267.300;801.900
70216;12822;8948;8;624.510;4.996.077
70217;12823;324;7;322.770;2.259.389
70218;12822;587;4;70.514;282.055
70219;12823;12539;3;161.804;485.412
70220;12822;6606;10;86.517;865.166
70221;12823;13809;9;0.4053;36.481
70222;12822;524;5;674.753;3.373.764
70223;12823;14502;6;175.444;1.052.667
70224;12822;19024;6;160.856;965.135
70225;12823;13956;8;321.935;2.575.480
70226;12822;17034;6;731.025;4.386.150
70227;12822;13041;3;237.367;712.102
70228;12824;27144;4;228.194;912.777
70229;12822;4661;1;22.955;22.955
70230;12824;6903;6;27.320;163.923
70231;12822;27601;2;45.420;90.840
70232;12824;1030;6;157.225;943.351
70233;12824;4693;2;122.219;244.438
70234;12825;16272;4;70.034;280.137
70235;12824;25905;7;66.901;468.309
70236;12825;16656;4;78.545;314.178
70237;12824;25948;5;89.794;448.968
70238;12825;25782;5;200.850;1.004.251
70239;12825;12048;3;103.565;310.694
70240;12826;16665;10;78.367;783.674
70241;12826;2448;3;698.714;2.096.141
70242;12827;25639;6;38.950;233.702
70243;12826;8806;2;81.382;162.763
70244;12827;7110;9;82.931;746.383
70245;12826;26897;2;23.760;47.520
70246;12827;12899;3;71.388;214.164
70247;12826;27547;4;568.382;2.273.527
70248;12827;1698;6;15.681;94.086
70249;12828;8171;6;10.552.525;63.315.152
70250;12829;26108;4;79.724;318.895
70251;12828;4150;7;614.860;4.304.019
70252;12829;2707;1;55.558;55.558
70253;12828;26779;1;12.276;12.276
70254;12829;23185;10;16.766;167.656
70255;12828;21609;3;94.416;283.247
70256;12829;9187;5;122.685;613.427
70257;12828;9390;4;356.591;1.426.364
70258;12829;14190;2;39.912;79.824
70259;12828;19112;1;74.290;74.290
70260;12829;22561;3;114.850;344.551
70261;12828;12466;1;61.132;61.132
70262;12830;8600;6;25.480;152.879
70263;12828;9194;10;181.007;1.810.069
70264;12830;7034;6;0.8379;50.273
70265;12828;7196;8;164.225;1.313.803
70266;12830;8388;4;60.277;241.109
70267;12830;23519;4;119.464;477.854
70268;12831;10609;4;78.133;312.533
70269;12830;17046;5;54.747;273.734
70270;12831;20410;3;17.271;51.814
70271;12830;1235;7;47.607;333.249
70272;12831;8869;4;287.669;1.150.677
70273;12830;21120;10;102.864;1.028.643
70274;12831;8705;2;17.125;34.250
70275;12830;15912;2;0.8384;16.767
70276;12831;21706;1;65.486;65.486
70277;12830;26552;6;149.915;899.492
70278;12831;236;1;119.192;119.192
70279;12832;1050;5;423.792;2.118.958
70280;12833;22937;5;154.560;772.800
70281;12832;1926;8;64.042;512.335
70282;12833;6846;6;56.572;339.435
70283;12832;3659;9;67.019;603.168
70284;12832;16383;1;53.536;53.536
70285;12834;26634;4;12.465;49.859
70286;12832;8061;10;59.386;593.861
70287;12834;26647;7;12.024;84.167
70288;12832;10000;9;24.614;221.528
70289;12834;4992;2;152.618;305.237
70290;12832;7841;6;148.109;888.653
70291;12834;24119;3;12.092;36.275
70292;12834;5905;7;93.963;657.739
70293;12832;19475;8;79.547;636.377
70294;12834;2392;2;93.455;186.910
70295;12835;15474;5;154.714;773.571
70296;12834;6269;10;160.474;1.604.743
70297;12835;8294;4;10.716;42.863
70298;12834;12016;1;20.878;20.878
70299;12835;18467;10;458.526;4.585.260
70300;12834;3379;6;32.447;194.680
70301;12835;9560;8;71.303;570.424
70302;12836;8910;5;114.384;571.918
70303;12835;16244;1;22.195;22.195
70304;12836;745;1;49.227;49.227
70305;12835;6894;9;79.441;714.972
70306;12836;9699;10;64.952;649.524
70307;12837;19812;2;215.359;430.719
70308;12836;14162;1;13.642;13.642
70309;12837;14794;10;18.067;180.669
70310;12836;26438;8;19.668;157.345
70311;12837;8402;1;156.570;156.570
70312;12836;18356;4;21.451;85.804
70313;12837;10490;3;698.183;2.094.548
70314;12836;12814;10;157.615;1.576.154
70315;12837;19819;10;27.367;273.668
70316;12836;10441;9;13.560;122.040
70317;12838;22595;10;47.732;477.317
70318;12839;17804;9;43.191;388.723
70319;12838;1114;10;278.019;2.780.188
70320;12839;5474;7;90.957;636.701
70321;12838;12705;9;19.381;174.431
70322;12839;21363;4;28.936;115.746
70323;12838;2347;10;106.989;1.069.894
70324;12839;15611;6;48.555;291.329
70325;12839;25591;2;128.341;256.682
70326;12840;26184;6;460.170;2.761.021
70327;12839;2334;5;636.769;3.183.846
70328;12840;11568;9;851.438;7.662.942
70329;12839;971;8;110.673;885.384
70330;12839;25014;7;43.562;304.933
70331;12841;27203;4;43.827;175.309
77852;14172;12837;7;42.752;299.264
77853;14173;16103;1;94.726;94.726
77854;14173;16474;5;10.461;52.306
77855;14172;26008;2;95.484;190.969
77856;14173;25430;5;60.148;300.738
77857;14172;24845;6;10.150;60.899
77858;14173;27669;2;46.392;92.785
77859;14172;10989;10;258.355;2.583.553
77860;14174;17650;4;121.615;486.460
77861;14175;17696;2;13.216;26.432
77862;14175;12973;2;246.244;492.488
77863;14174;10876;8;45.042;360.333
77864;14174;2060;1;34.168;34.168
77865;14175;10758;3;15.786;47.357
77866;14175;11580;5;37.820;189.100
77867;14174;24937;6;0.5380;32.280
77868;14175;17594;7;193.435;1.354.043
77869;14174;10032;9;125.918;1.133.259
77870;14174;20756;3;191.269;573.807
77871;14175;940;5;722.460;3.612.299
77872;14175;17378;3;20.491;61.473
77873;14176;14649;8;11.905;95.244
77874;14175;24981;6;62.642;375.855
77875;14176;9285;8;15.137;121.096
77876;14175;15517;6;1.150.070;6.900.419
77877;14176;25243;3;0.5555;16.664
77878;14175;24334;10;53.395;533.949
77879;14176;22037;8;62.162;497.298
77880;14177;26044;1;97.121;97.121
77881;14176;9517;2;17.015;34.030
77882;14177;17597;7;267.845;1.874.915
77883;14176;15086;6;26.196;157.177
77884;14177;18350;10;0.4560;45.597
77885;14176;21867;9;858.423;7.725.807
77886;14177;824;2;60.666;121.332
77887;14176;7535;9;1.020.261;9.182.350
77888;14177;3216;3;97.868;293.605
77889;14176;22011;4;323.018;1.292.073
77890;14176;9172;8;25.124;200.989
77891;14178;17545;8;206.050;1.648.400
77892;14178;26916;8;64.932;519.459
77893;14179;26730;6;37.103;222.618
77894;14178;27054;8;61.919;495.348
77895;14179;24600;6;308.242;1.849.449
77896;14178;21168;2;154.224;308.448
77897;14179;17554;10;116.575;1.165.753
77898;14178;28033;10;39.865;398.652
77899;14179;15259;6;274.522;1.647.134
77900;14178;8638;10;595.751;5.957.508
77901;14179;12148;4;61.831;247.325
77902;14180;21066;10;86.387;863.866
77903;14179;9831;6;63.495;380.970
77904;14180;1690;10;192.036;1.920.359
77905;14179;21769;3;45.036;135.108
77906;14179;25605;9;29.224;263.015
77907;14181;13162;8;947.190;7.577.521
77908;14179;12118;8;173.536;1.388.287
77909;14181;14171;7;64.689;452.820
77910;14181;9281;3;203.649;610.947
77911;14182;10894;5;501.579;2.507.896
77912;14183;2620;7;266.749;1.867.241
77913;14184;9796;3;42.964;128.893
77914;14183;7584;6;32.819;196.915
77915;14184;26880;10;81.188;811.883
77916;14183;22750;6;334.966;2.009.796
77917;14184;7180;7;64.893;454.253
77918;14184;14398;1;61.865;61.865
77919;14185;5033;9;239.230;2.153.072
77920;14184;23976;5;41.931;209.655
77921;14185;24158;6;198.079;1.188.477
77922;14186;22572;6;0.9717;58.303
77923;14187;15398;6;140.202;841.214
77924;14186;6032;5;203.886;1.019.432
77925;14187;14657;3;375.281;1.125.843
77926;14186;21543;3;342.972;1.028.916
77927;14187;15516;5;63.057;315.284
77928;14187;25967;2;43.901;87.803
77929;14186;11147;7;13.829;96.803
77930;14186;18614;9;44.842;403.582
77931;14187;2020;3;279.747;839.242
77932;14187;1667;6;33.915;203.488
77933;14186;19383;3;117.660;352.980
77934;14188;20636;1;259.162;259.162
77935;14189;25952;10;24.000;240.001
77936;14188;26700;1;14.100;14.100
77937;14189;2773;6;60.843;365.055
77938;14189;12140;10;56.476;564.761
77939;14190;13238;6;593.376;3.560.258
77940;14189;5523;5;286.569;1.432.844
77941;14190;17964;4;133.461;533.845
77942;14189;27592;5;44.457;222.286
77943;14190;17734;7;104.080;728.557
77944;14189;16947;8;613.892;4.911.136
77945;14190;9608;6;452.867;2.717.202
77946;14190;11373;5;0.8693;43.464
77947;14191;15015;6;14.832;88.992
77948;14190;25077;6;33.294;199.765
77949;14191;5539;1;257.123;257.123
77950;14190;5993;9;130.184;1.171.652
77951;14191;8196;2;26.964;53.928
77952;14190;16736;7;13.174;92.215
77953;14191;11947;6;28.427;170.564
77954;14190;14900;10;17.117;171.166
77955;14191;11753;3;82.209;246.626
77956;14192;13482;2;111.861;223.722
77957;14191;2956;9;374.656;3.371.905
77958;14192;26869;10;0.3742;37.424
77959;14191;19539;9;59.733;537.596
77960;14192;24097;10;74.875;748.752
77961;14192;10272;6;11.587;69.525
77962;14193;5120;8;24.038;192.300
77963;14193;20866;4;159.096;636.386
77964;14194;16794;10;73.026;730.263
77965;14194;27759;1;28.324;28.324
77966;14195;12292;3;125.254;375.763
77967;14194;9428;8;246.622;1.972.974
77968;14195;21349;8;82.642;661.134
77969;14194;7354;1;343.550;343.550
77970;14195;13917;2;233.074;466.149
77971;14194;27340;10;157.844;1.578.436
77972;14195;423;9;19.333;173.993
77973;14195;12772;5;97.536;487.682
77974;14196;20215;1;311.070;311.070
77975;14195;3977;10;17.574;175.740
77976;14196;21391;7;205.889;1.441.220
77977;14195;16409;1;13.800;13.800
77978;14196;25309;2;114.941;229.882
77979;14197;8071;6;32.847;197.083
77980;14196;27276;5;0.7725;38.625
77981;14197;25033;8;40.302;322.419
77982;14196;4483;6;174.918;1.049.510
77983;14196;22174;1;22.622;22.622
77984;14197;17207;5;85.603;428.016
77985;14196;193;4;257.514;1.030.055
77986;14197;23033;2;70.781;141.563
77987;14197;4848;3;88.481;265.442
77988;14198;1412;9;108.695;978.252
77989;14197;23375;2;186.194;372.389
77990;14198;1974;8;20.810;166.478
77991;14197;21416;9;43.363;390.270
77992;14198;14064;4;609.397;2.437.589
77993;14197;23149;6;31.169;187.015
77994;14198;5541;8;248.994;1.991.954
77995;14199;24218;8;12.717;101.732
77996;14198;20435;3;27.951;83.852
77997;14199;10608;6;152.608;915.645
77998;14199;21792;5;113.528;567.639
77999;14200;18671;6;139.319;835.915
78000;14199;26146;2;106.911;213.821
78001;14200;12631;5;20.177;100.883
78002;14199;6595;7;151.497;1.060.479
78003;14200;26139;4;40.058;160.234
78004;14199;27230;6;10.919;65.513
78005;14200;4170;5;72.325;361.626
78006;14199;8922;9;48.673;438.056
78007;14199;12124;6;344.836;2.069.016
78008;14201;1104;9;53.474;481.269
78009;14199;14221;10;149.240;1.492.399
78010;14201;23496;5;165.010;825.051
78011;14202;6260;1;108.210;108.210
78012;14201;7580;2;44.616;89.231
78013;14202;26882;4;12.598;50.390
78014;14201;26185;8;149.560;1.196.484
78015;14201;15832;9;117.966;1.061.692
78016;14203;24724;8;66.287;530.292
78017;14201;12353;7;53.690;375.828
78018;14203;17425;5;21.243;106.214
78019;14204;24768;3;42.982;128.946
78020;14203;15206;10;31.705;317.054
78021;14204;24480;8;106.007;848.059
78022;14204;23681;10;12.429;124.293
78023;14205;19832;1;28.876;28.876
78024;14204;19436;5;56.109;280.546
78025;14205;20921;2;82.020;164.041
78026;14204;23829;5;0.7990;39.948
78027;14205;11247;2;16.884;33.768
78028;14204;384;4;140.237;560.947
78029;14205;14124;1;31.724;31.724
78030;14204;8810;7;167.358;1.171.509
78031;14205;8642;7;13.767;96.370
78032;14204;18674;6;110.463;662.778
78033;14206;9591;1;376.445;376.445
78034;14204;13053;5;60.944;304.720
78035;14204;11437;2;153.380;306.760
78036;14206;24089;8;197.874;1.582.989
78037;14206;18592;7;13.946;97.622
78038;14207;17371;5;11.855;59.276
78039;14206;8453;1;293.341;293.341
78040;14207;4483;7;174.976;1.224.833
78041;14206;12850;3;46.113;138.338
78042;14207;3320;2;68.108;136.215
78043;14206;24416;4;63.761;255.044
78044;14207;1697;10;31.757;317.571
78045;14206;18069;2;48.983;97.965
78046;14207;25972;9;40.547;364.926
78047;14206;3686;4;36.575;146.300
78048;14207;27531;9;708.724;6.378.515
78049;14206;13771;1;512.919;512.919
78050;14207;25765;8;74.686;597.487
78051;14206;7131;4;134.879;539.516
78052;14208;14485;1;95.794;95.794
78053;14208;11516;7;106.411;744.880
78054;14209;4552;1;47.967;47.967
78055;14209;10295;3;227.390;682.170
78056;14208;11343;4;608.742;2.434.970
78057;14209;8623;3;32.974;98.921
78058;14208;21020;10;328.649;3.286.489
78059;14208;25889;8;94.812;758.499
78060;14209;9456;6;55.404;332.423
78061;14208;22914;4;42.948;171.792
78062;14209;9;10;323.153;3.231.529
78063;14208;13150;10;27.478;274.785
78064;14209;12287;10;63.860;638.598
78065;14208;15844;5;42.088;210.442
78066;14209;27718;5;18.886;94.428
78067;14208;22136;8;204.712;1.637.699
78068;14209;20728;1;0.3244;0.3244
78069;14208;19940;4;28.561;114.246
78070;14210;15315;7;1.589.642;11.127.494
78071;14210;11939;6;18.526;111.155
78072;14211;2073;9;10.122;91.101
78073;14210;1635;7;237.310;1.661.171
78074;14210;3535;8;12.761;102.087
78075;14212;1821;9;97.466;877.192
78076;14210;1662;8;23.947;191.573
78077;14212;16412;1;46.437;46.437
78078;14212;17873;6;101.665;609.989
78079;14213;1002;2;199.435;398.871
78080;14212;23660;10;63.003;630.032
78081;14213;12163;8;11.515;92.123
78082;14212;2629;9;65.979;593.807
78083;14213;4204;9;0.3745;33.702
78084;14214;15245;1;227.698;227.698
78085;14213;17603;8;61.020;488.164
78086;14215;22539;9;12.547;112.921
78087;14216;6837;3;159.736;479.207
78088;14215;18382;2;497.479;994.959
78089;14216;20981;4;125.438;501.753
78090;14215;9484;5;70.255;351.275
78091;14215;19106;5;62.782;313.910
78092;14217;23142;2;47.000;94.000
78093;14217;11775;9;265.944;2.393.499
78094;14218;15585;9;94.140;847.262
78095;14217;9461;1;84.172;84.172
78096;14218;16436;1;13.446;13.446
78097;14217;13478;8;186.676;1.493.404
78098;14218;2558;3;147.279;441.837
78099;14217;21029;7;0.3653;25.568
78100;14218;6020;8;327.379;2.619.035
78101;14217;1811;8;61.057;488.452
78102;14218;6339;1;310.092;310.092
78103;14217;27889;2;62.794;125.589
78104;14218;6385;1;138.707;138.707
78105;14218;16193;10;105.543;1.055.427
78106;14219;19849;6;111.661;669.966
78107;14218;20216;4;404.142;1.616.570
78108;14219;22061;7;226.154;1.583.078
78109;14218;14321;8;205.386;1.643.086
78110;14219;19495;4;67.192;268.767
78111;14219;3515;7;28.627;200.389
78112;14220;20851;9;71.985;647.863
78113;14219;543;8;15.734;125.871
78114;14220;5142;2;166.573;333.145
78115;14219;27868;2;72.358;144.717
78116;14220;10776;10;24.926;249.265
78117;14220;1248;1;292.268;292.268
78118;14219;14387;4;42.898;171.593
78119;14219;12473;6;83.907;503.440
78120;14219;20063;10;70.509;705.091
78121;14221;8270;7;68.073;476.514
78122;14222;18655;2;12.865;25.731
78123;14222;12010;7;163.940;1.147.577
78124;14223;13481;5;140.029;700.144
78125;14222;24330;4;20.174;80.696
78126;14223;17935;2;399.362;798.724
78127;14224;23100;6;167.004;1.002.023
78128;14223;24160;6;497.467;2.984.802
78129;14224;4631;3;0.4265;12.795
78130;14223;21771;6;50.983;305.896
78131;14224;25728;3;10.931;32.794
78132;14223;12017;5;0.4558;22.792
78133;14224;22295;7;25.273;176.914
78134;14223;11448;9;116.502;1.048.519
78135;14224;18758;3;116.107;348.320
78136;14224;26146;3;92.677;278.032
78137;14225;13398;8;203.608;1.628.868
78138;14226;13097;3;0.2730;0.8190
78139;14227;15708;3;280.371;841.113
78140;14226;16994;8;369.097;2.952.776
78141;14226;15048;5;72.012;360.060
78142;14226;14616;2;122.050;244.100
78143;14228;19883;3;11.522;34.566
78144;14226;8969;4;111.014;444.057
78145;14228;16743;2;143.536;287.072
78146;14228;12082;10;22.784;227.841
78147;14229;16114;5;197.069;985.345
78148;14228;7451;9;43.792;394.127
78149;14229;7895;4;0.7198;28.791
78150;14228;19895;2;0.4917;0.9835
78151;14229;24585;6;243.231;1.459.385
78152;14228;22007;10;18.809;188.088
78153;14228;7285;8;51.626;413.010
78154;14230;9085;3;131.599;394.797
78155;14228;26224;6;23.892;143.351
78156;14230;9127;5;16.606;83.028
78157;14228;4069;3;30.053;90.158
78158;14230;15425;9;131.012;1.179.109
78159;14230;9889;7;14.144;99.005
78160;14231;12832;4;41.839;167.356
78161;14230;25177;9;1.145.570;10.310.134
78162;14232;27774;8;70.949;567.594
78163;14233;24157;3;63.383;190.148
78164;14234;10700;9;106.333;956.996
78165;14233;12214;4;63.976;255.905
78166;14234;25560;10;161.824;1.618.242
78167;14233;10665;8;14.832;118.656
78168;14234;23188;4;24.788;99.150
78169;14235;16409;10;12.308;123.085
78170;14234;14624;10;83.462;834.617
78171;14235;13518;10;0.2377;23.773
78172;14234;13344;6;176.131;1.056.786
78173;14236;12955;3;59.382;178.146
78174;14234;26098;1;12.749;12.749
78175;14234;2202;4;122.052;488.209
78176;14236;24772;6;64.640;387.842
78177;14236;23216;5;12.571;62.853
78178;14237;24193;8;57.005;456.037
78179;14236;8645;1;1.211.803;1.211.803
78180;14237;21225;8;79.529;636.234
78181;14236;23694;1;30.465;30.465
78182;14237;24195;3;131.304;393.913
78183;14236;20462;6;59.972;359.829
78184;14237;26957;7;62.228;435.594
78185;14238;6365;4;91.771;367.082
78186;14237;2605;8;179.537;1.436.297
78187;14238;18791;3;353.168;1.059.503
78188;14237;21266;10;117.709;1.177.089
78189;14238;14758;6;48.186;289.113
78190;14237;25518;10;33.357;333.573
78191;14238;21527;2;68.898;137.796
78192;14237;21640;9;19.413;174.714
78193;14238;7508;6;169.693;1.018.155
78194;14237;16374;5;176.274;881.368
78195;14238;14264;10;0.6192;61.920
78196;14238;13179;4;24.675;98.701
78197;14239;2009;4;27.858;111.431
78198;14239;15105;9;53.524;481.712
78199;14238;20627;7;238.281;1.667.969
78200;14238;1170;1;158.535;158.535
78201;14240;14932;1;60.580;60.580
78202;14238;975;6;78.843;473.057
78203;14240;8513;1;19.670;19.670
78204;14240;12041;5;23.572;117.861
78205;14241;14503;4;308.793;1.235.173
78206;14240;7605;1;354.305;354.305
78207;14241;8814;7;649.894;4.549.255
78208;14240;23597;8;59.252;474.012
78209;14242;15361;10;48.439;484.390
78210;14243;9353;1;465.535;465.535
78211;14242;21985;3;73.026;219.078
78212;14243;14052;2;223.442;446.884
78213;14242;23527;1;78.284;78.284
78214;14243;18315;6;30.265;181.589
78215;14242;22936;8;218.888;1.751.107
78216;14243;20716;10;12.345;123.454
78217;14242;1735;1;168.697;168.697
78218;14243;16655;1;23.092;23.092
78219;14242;2829;3;163.618;490.854
78220;14242;26925;4;0.3690;14.759
78221;14244;21292;10;25.801;258.006
78222;14242;10459;2;620.813;1.241.626
78223;14244;7758;2;43.661;87.322
78224;14242;22282;8;13.751;110.011
78225;14244;10749;7;394.336;2.760.354
78226;14242;5266;5;388.696;1.943.482
78227;14244;15680;10;214.268;2.142.681
78228;14244;24083;10;0.5024;50.240
78229;14245;10945;8;24.875;199.000
78230;14244;9524;6;228.515;1.371.090
78231;14244;15154;9;64.345;579.105
78232;14246;15272;10;138.324;1.383.241
78233;14246;5439;7;129.327;905.287
78234;14246;1275;9;37.865;340.783
78235;14247;26559;7;68.017;476.121
78236;14246;8111;4;95.430;381.720
78237;14246;2196;3;96.654;289.962
78238;14248;11695;1;161.812;161.812
78239;14246;15626;4;41.765;167.059
78240;14248;8618;7;17.781;124.464
78241;14250;22821;6;25.764;154.585
78242;14249;7227;8;111.163;889.305
78243;14249;12574;1;0.2472;0.2472
78244;14251;16264;10;91.037;910.367
78245;14249;18657;9;192.139;1.729.253
78246;14251;4569;10;193.898;1.938.982
78247;14249;1974;6;21.209;127.253
78248;14251;1082;10;194.929;1.949.285
78249;14249;20673;7;192.741;1.349.186
78250;14251;5674;2;159.387;318.774
78251;14249;5289;6;55.738;334.426
78252;14251;26003;7;77.829;544.805
