ID;USERID;DATE_;TOTALPRICE;STATUS_;ADDRESSID
7243;9591;12.06.2019 06:13;11.219.266;2;23464
7244;2602;15.01.2019 07:11;2.631.379;2;11601
7245;4553;19.03.2019 22:32;1.969.712;2;5839
7246;9294;18.08.2019 06:54;1.927.561;2;22712
7247;2198;4.12.2019 14:01;2.393.753;2;10591
7248;2793;4.01.2020 18:56;1.918.410;2;12057
7249;7806;7.08.2019 18:10;2.627.345;2;19080
7250;8599;7.01.2019 09:04;3.464.797;2;21017
7251;2089;22.03.2020 21:27;5.337.426;2;5084
7252;7172;2.02.2019 01:21;5.774.701;2;17495
7253;263;1.01.2019 09:36;1.350.338;2;601
7254;1298;17.12.2019 23:43;8.534.952;2;3121
7255;8646;19.08.2019 01:22;173.033;2;21118
7256;3815;3.02.2019 13:27;2.416.380;2;14531
7257;3770;4.01.2019 16:07;7.294.495;2;14427
7258;4016;24.06.2019 15:01;1.542.706;2;15028
7259;1579;23.08.2019 20:13;304.320;2;3836
7260;4112;4.10.2019 11:20;8.528.678;2;15250
7261;3052;8.01.2019 15:10;3.547.353;2;12676
7262;5163;24.04.2019 00:03;1.033.143;2;7376
7263;1231;19.08.2019 08:42;1.859.706;2;2961
7264;2099;14.08.2019 13:51;442.043;2;5111
7265;6792;18.01.2019 18:40;3.585.413;2;16578
7266;2653;2.03.2019 19:58;1.244.482;2;11729
7267;6768;4.05.2019 21:42;8.503.122;2;16511
7268;7530;22.09.2019 19:00;441.260;2;18386
7269;4086;18.12.2019 01:49;4.711.341;2;15186
7270;4099;9.03.2020 01:44;10.316.930;2;15216
7271;6427;3.03.2020 03:17;5.701.977;2;10482
7272;696;7.12.2019 03:29;3.869.955;2;24620
7273;6279;6.01.2019 01:31;645.049;2;10136
7274;172;20.05.2019 11:50;12.020.696;2;394
7275;822;28.03.2019 17:21;7.813.765;2;1956
7276;8762;30.01.2019 10:07;605.222;2;21414
7277;5398;22.08.2019 05:56;5.320.596;2;7968
7278;4469;10.03.2019 05:28;12.244.707;2;5636
7279;5002;21.07.2019 11:24;1.362.148;2;6950
7280;4827;7.09.2019 21:14;5.422.840;2;6509
7281;467;20.01.2019 12:53;4.888.234;2;1095
7282;1900;31.10.2019 08:57;5.436.994;2;4600
7283;3412;28.03.2019 05:50;3.049.497;2;13551
7284;69;4.09.2019 04:18;300.402;2;160
7285;1928;6.12.2019 15:07;7.175.383;2;4670
7286;1367;5.01.2020 00:59;5.029.450;2;3303
7287;9210;20.01.2020 14:34;365.632;2;22515
7288;6238;14.02.2020 18:45;6.325.882;2;10031
7289;353;4.01.2020 03:25;42.615;2;814
7290;7273;2.05.2019 09:46;15.945.358;2;17725
7291;3717;2.12.2019 15:59;6.718.390;2;14293
7292;1312;8.07.2019 05:22;3.050.901;2;3158
7293;1202;8.09.2019 16:25;3.414.609;2;2890
7294;7481;19.06.2019 10:24;874.232;2;18261
7295;6862;9.01.2020 21:00;3.204.414;2;16747
7296;1676;1.09.2019 04:25;178.352;2;4056
7297;3719;22.02.2020 17:51;2.344.281;2;14298
7298;3062;15.02.2020 20:56;2.680.768;2;12700
7299;9417;22.07.2019 04:13;6.575.804;2;23018
7300;5524;26.02.2020 13:29;172.846;2;8297
7301;9316;28.03.2019 16:03;12.096.295;2;22773
7302;4029;21.03.2020 14:55;60.551;2;15060
7303;9471;12.01.2020 07:32;6.530.352;2;23159
7304;8777;18.07.2019 08:31;4.878.808;2;21448
7305;722;19.10.2019 08:27;6.652.231;2;1725
7306;5527;18.12.2019 02:21;5.297.952;2;8304
7307;3154;18.09.2019 16:44;6.463.549;2;12922
7308;9249;30.07.2019 05:34;2.454.519;2;22601
7309;162;19.10.2019 08:12;5.681.892;2;372
7310;897;11.05.2019 18:32;5.300.960;2;2150
7311;820;10.07.2019 22:08;13.949.338;2;1950
7312;4267;11.05.2019 22:09;2.688.773;2;15619
7313;312;27.12.2019 19:02;9.302.018;2;717
7314;4355;22.10.2019 19:07;11.610.486;2;5362
7315;3009;11.01.2020 21:16;5.863.854;2;12570
7316;5630;2.09.2019 09:03;7.131.706;2;24601
7317;5895;4.01.2019 23:35;4.412.546;2;9204
7318;1138;27.11.2019 22:04;1.753.866;2;2736
7319;7432;14.08.2019 19:52;907.985;2;18144
7320;6718;25.03.2019 00:59;59.235;2;16397
7321;1548;10.01.2019 01:38;11.768.229;2;3749
7322;1647;17.07.2019 09:26;1.041.407;2;3996
7323;5005;29.01.2019 13:16;506.558;2;6954
7324;1556;5.05.2019 19:38;2.680.670;2;3765
7325;5257;6.09.2019 22:13;6.426.211;2;7595
7326;2660;18.09.2019 11:21;3.972.630;2;11742
7327;3441;29.04.2019 18:56;6.804.323;2;13615
7328;2928;13.08.2019 14:25;1.446.901;2;12362
7329;5319;12.08.2019 16:20;225.094;2;7743
7330;2534;9.01.2020 08:58;2.121.870;2;11432
7331;3464;12.04.2019 02:34;9.721.350;2;13667
7332;4198;18.12.2019 12:03;7.898.841;2;15456
7333;1869;17.01.2019 04:25;695.580;2;4523
7334;6687;6.11.2019 05:01;291.636;2;16325
7335;4240;28.11.2019 22:00;1.168.223;2;15559
7336;7348;24.05.2019 01:15;4.512.599;2;17923
7337;7943;31.07.2019 08:54;14.802.626;2;19425
7338;2127;1.04.2019 21:14;1.642.594;2;5180
7339;4674;20.01.2020 02:09;4.687.364;2;6123
7340;8990;22.03.2019 13:27;7.586.110;2;21977
7341;8853;1.08.2019 03:34;1.996.023;2;21632
7342;6521;21.10.2019 06:27;517.779;2;15947
7343;7409;5.11.2019 16:30;3.644.444;2;18083
7344;5758;11.07.2019 11:19;6.112.987;2;8851
7345;5919;19.10.2019 11:47;5.308.201;2;9262
7346;3546;13.09.2019 00:33;3.558.630;2;13875
7347;8477;19.03.2019 00:58;6.248.715;2;20711
7348;3197;28.01.2020 22:02;1.862.806;2;13026
7349;916;25.11.2019 20:18;857.774;2;2195
7350;9495;18.02.2020 15:59;465.162;2;23223
7351;7634;4.02.2019 11:23;5.519.347;2;18646
7352;5431;14.01.2020 13:34;4.039.887;2;8052
7353;4381;25.02.2020 20:40;9.659.918;2;5424
7354;1112;20.01.2020 13:21;910.953;2;2674
7355;5844;15.10.2019 19:16;6.179.222;2;9078
7356;115;26.02.2019 23:09;5.116.938;2;269
7357;1379;12.02.2019 16:14;4.028.631;2;3336
7358;2156;13.01.2020 06:27;660.532;2;10492
7359;1131;15.11.2019 12:35;604.423;2;2724
7360;1871;18.07.2019 09:08;6.303.158;2;4529
7361;369;20.01.2020 15:17;10.115.835;2;846
7362;7980;2.12.2019 19:14;1.759.174;2;19512
7363;9616;26.07.2019 04:14;3.404.818;2;23530
7364;6902;13.03.2019 18:42;8.122.199;2;16837
7365;9393;25.05.2019 09:40;2.036.089;2;22958
7366;231;29.01.2020 09:13;4.644.974;2;528
7367;7050;13.03.2020 00:04;12.381.705;2;17193
7368;1921;14.03.2020 21:37;587.704;2;4652
7369;8130;18.02.2019 23:21;9.239.105;2;19872
7370;8095;7.06.2019 19:23;2.914.093;2;19781
7371;4631;12.04.2019 19:51;6.889.309;2;6015
7372;5851;15.05.2019 23:39;3.047.399;2;9100
7373;9133;26.02.2020 10:25;4.000.089;2;22305
7374;1236;18.04.2019 00:34;4.936.996;2;2967
7375;9033;21.11.2019 11:17;11.199.082;2;22083
7376;3550;13.11.2019 16:42;7.516.051;2;13887
7377;1881;22.10.2019 03:14;4.660.441;2;4552
7378;8161;10.01.2019 22:48;3.860.156;2;19949
7379;8670;17.03.2020 11:06;2.912.238;2;21168
7380;7333;30.07.2019 23:17;605.322;2;17884
7381;6822;10.02.2020 20:28;1.743.108;2;16655
7382;374;23.11.2019 12:01;1.451.973;2;856
7383;6977;23.04.2019 02:27;3.664.707;2;17021
7384;9167;2.06.2019 07:47;1.111.055;2;22393
7385;7458;22.03.2020 17:34;3.610.016;2;18203
7386;8573;28.12.2019 19:28;4.628.883;2;20955
7387;3856;12.08.2019 08:49;2.142.771;2;14634
7388;9203;12.08.2019 02:35;8.324.462;2;22497
7389;3937;7.04.2019 09:45;9.072.449;2;14833
7390;8101;22.03.2020 00:27;563.251;2;19794
7391;1468;22.05.2019 00:19;2.561.492;2;3551
7392;9316;4.03.2020 15:24;1.658.123;2;22772
9104;1452;31.01.2020 22:22;132.347;2;24485
9105;9235;3.12.2019 08:47;1.649.785;2;22572
9106;309;5.08.2019 14:04;3.993.238;2;707
9107;3310;29.09.2019 10:51;3.562.229;2;13313
9108;9539;14.02.2020 00:53;1.233.907;2;23331
9109;1564;6.01.2020 22:16;5.847.182;2;3790
9110;8685;17.05.2019 15:32;6.475.130;2;21211
9111;7525;12.08.2019 11:41;3.948.345;2;18371
9112;4418;23.06.2019 14:47;2.052.802;2;5513
9113;6877;6.01.2020 17:29;4.485.538;2;16778
9114;5335;19.01.2020 10:26;2.486.570;2;7792
9115;3794;21.08.2019 15:36;3.284.062;2;14484
9116;953;4.07.2019 18:46;3.368.341;2;2279
9117;6731;3.09.2019 02:28;1.462.543;2;16422
9118;2649;19.07.2019 10:35;2.230.174;2;11719
9119;8023;8.10.2019 08:26;1.136.462;2;19607
9120;2664;25.12.2019 02:17;241.813;2;11754
9121;8314;11.10.2019 12:36;3.316.909;2;20321
9122;3205;2.05.2019 07:37;3.396.906;2;13046
9123;2738;22.01.2020 07:19;8.277.625;2;11926
9124;2090;4.02.2020 13:29;1.988.736;2;5085
9125;8472;27.02.2020 03:40;1.009.940;2;20699
9126;3794;24.05.2019 13:48;2.544.072;2;14484
9127;5568;30.11.2019 17:23;4.500.089;2;8411
9128;4587;26.01.2020 23:21;5.785.742;2;5906
9129;6423;4.05.2019 16:06;6.374.003;2;10471
9130;7274;18.01.2020 15:09;13.741.217;2;17728
9131;5704;22.07.2019 02:25;7.699.206;2;8726
9132;8480;11.09.2019 05:26;3.985.593;2;20723
9133;3414;30.08.2019 16:45;4.177.206;2;13556
9134;4492;8.02.2020 06:24;7.153.891;2;5697
9135;2697;27.09.2019 09:01;4.249.280;2;11831
9136;5302;31.05.2019 21:00;162.197;2;7698
9137;3784;4.02.2019 03:20;12.717.812;2;14459
9138;2292;12.10.2019 08:18;1.848.072;2;10825
9139;3096;18.09.2019 11:24;3.436.886;2;12779
9140;5392;30.09.2019 13:27;8.257.882;2;7951
9141;4489;6.01.2019 23:17;2.601.231;2;5691
9142;8391;30.06.2019 22:48;5.247.661;2;20506
9143;5230;12.01.2019 21:49;7.276.623;2;7542
9144;1830;9.03.2020 17:22;1.555.922;2;4429
9145;8557;27.05.2019 03:07;151.111;2;20912
9146;7397;22.02.2020 14:21;3.868.080;2;18060
9147;386;31.08.2019 12:25;4.959.189;2;888
9148;6913;16.01.2020 12:07;37.056.758;2;16867
9149;6695;29.05.2019 11:01;2.825.714;2;16345
9150;52;14.05.2019 23:23;3.769.222;2;115
9151;3061;18.02.2020 03:16;1.114.238;2;12696
9152;1080;7.02.2020 04:23;2.890.901;2;2594
9153;1810;18.03.2019 18:37;4.722.296;2;4380
9154;7258;23.01.2020 20:57;3.140.969;2;17686
9155;5143;30.12.2019 19:57;498.192;2;7326
9156;9486;28.02.2019 20:20;1.809.847;2;23200
9157;5729;18.03.2020 20:20;3.953.182;2;8782
9158;6939;29.08.2019 19:20;1.513.588;2;16926
9159;5763;7.09.2019 02:18;2.405.057;2;8866
9160;5493;16.03.2019 11:40;2.092.189;2;8209
9161;6290;13.01.2020 17:18;2.020.562;2;10159
9162;1645;13.06.2019 11:35;8.287.406;2;3989
9163;490;16.07.2019 22:33;9.229.475;2;1150
9164;4288;29.10.2019 10:28;5.479.121;2;15682
9165;4747;30.10.2019 02:19;1.848.398;2;6306
9166;3521;14.12.2019 16:26;5.373.984;2;13812
9167;1644;1.04.2019 18:30;1.323.584;2;3986
9168;7946;9.01.2020 09:23;143.893;2;19433
9169;150;6.11.2019 06:43;4.198.869;2;345
9170;569;11.02.2019 15:27;2.169.695;2;1358
9171;1529;12.09.2019 11:44;3.801.195;2;3697
9172;3414;7.08.2019 12:19;2.679.968;2;13554
9173;4932;13.07.2019 16:14;8.426.619;2;6769
9174;699;8.04.2019 17:26;1.156.008;2;1662
9175;195;11.01.2020 21:10;3.182.663;2;440
9176;452;11.07.2019 08:16;4.442.309;2;1057
9177;465;22.08.2019 20:10;1.058.754;2;1089
9178;9529;17.03.2020 16:37;8.477.847;2;23307
9179;9493;13.03.2019 00:29;8.477.855;2;23216
9180;231;20.11.2019 20:25;3.282.808;2;527
9181;9213;24.09.2019 12:45;4.548.992;2;22518
9182;5761;5.01.2019 18:33;2.399.625;2;8861
9183;2974;5.03.2019 06:02;3.923.542;2;12479
9184;2382;17.02.2020 09:51;708.199;2;11044
9185;5165;21.03.2020 09:24;4.583.645;2;7381
9186;2152;23.07.2019 15:31;1.514.206;2;5241
9187;6608;9.03.2019 12:37;5.111.042;2;16142
9188;291;28.01.2019 12:06;1.690.045;2;669
9189;3400;8.01.2020 08:36;1.240.969;2;13518
9190;7286;5.01.2020 04:50;576.761;2;17762
9191;3833;6.03.2020 19:50;11.162.194;2;14579
9192;6033;3.01.2019 20:52;4.041.741;2;24617
9193;5689;20.05.2019 14:24;494.124;2;8690
9194;9118;31.01.2020 06:56;3.739.121;2;22272
9195;4320;13.11.2019 01:40;20.323.925;2;5276
9196;4711;12.01.2020 13:41;7.220.252;2;6217
9197;2408;20.12.2019 14:44;2.664.587;2;11108
9198;8780;13.11.2019 17:31;1.768.937;2;21456
9199;4984;1.06.2019 09:29;5.218.362;2;6908
9200;6522;23.01.2020 12:49;16.284.894;2;15948
9201;6162;3.02.2020 09:34;587.066;2;9857
9202;6926;6.05.2019 22:21;6.163.491;2;16899
9203;6051;24.03.2020 02:24;1.696.986;2;9587
9204;8412;22.01.2020 16:36;75.705;2;20560
9205;9061;5.05.2019 15:17;1.632.923;2;22142
9206;9301;9.01.2019 09:33;4.241.681;2;22735
9207;3068;10.01.2020 02:37;3.043.454;2;12715
9208;5393;30.05.2019 05:53;2.467.089;2;7953
9209;6819;25.02.2019 20:13;1.059.971;2;16647
9210;4888;19.07.2019 11:48;2.179.712;2;6652
9211;5959;19.11.2019 08:56;10.317.088;2;9357
9212;8696;17.05.2019 13:29;1.463.464;2;21237
9213;2769;30.03.2019 13:37;2.875.536;2;11999
9214;5440;12.01.2020 00:16;14.811.391;2;8073
9215;8591;6.03.2020 01:54;5.387.816;2;20997
9216;3505;3.03.2019 22:04;4.100.383;2;13769
9217;8050;2.08.2019 09:51;1.211.594;2;19670
9218;8135;10.07.2019 05:42;5.024.975;2;19887
9219;8116;6.04.2019 01:05;1.053.721;2;19835
9220;6511;1.07.2019 18:52;901.350;2;15917
9221;7230;3.01.2019 04:31;3.701.680;2;17628
9222;3713;10.08.2019 21:49;6.583.513;2;14282
9223;7299;30.03.2019 20:16;1.196.119;2;17799
9224;617;21.05.2019 20:39;2.232.519;2;1467
9225;2267;6.01.2020 17:13;3.200.490;2;10770
9226;7811;11.10.2019 06:48;1.357.959;2;19092
9227;7881;18.03.2020 22:38;4.285.620;2;19266
9228;68;16.12.2019 20:20;7.448.389;2;155
9229;672;29.02.2020 22:33;228.520;2;1595
9230;9596;3.08.2019 22:07;171.532;2;23476
9231;8595;5.03.2020 17:15;5.104.149;2;21008
9232;6695;18.10.2019 07:56;319.777;2;16344
9233;2929;27.03.2019 01:09;962.739;2;12363
9234;7903;17.02.2020 18:47;2.017.146;2;19319
9235;7322;4.05.2019 05:47;1.262.435;2;17852
9236;2980;6.02.2020 17:53;2.314.999;2;12493
9237;8150;14.09.2019 20:54;1.458.355;2;19924
9238;5850;14.12.2019 07:26;3.535.965;2;9099
9239;6197;11.07.2019 22:24;5.117.356;2;9940
9240;420;28.05.2019 12:41;2.866.125;2;974
9241;6406;12.08.2019 10:24;6.936.224;2;10428
9242;5683;23.09.2019 21:59;4.427.971;2;8676
9243;8976;7.03.2019 08:40;6.505.749;2;21936
9244;9658;20.02.2020 10:33;350.869;2;23638
9245;4280;28.06.2019 04:12;2.908.697;2;15653
9246;2415;15.11.2019 09:25;1.911.699;2;11130
9247;4139;23.02.2019 07:51;352.367;2;15322
9248;7995;22.06.2019 02:29;8.049.984;2;19538
9249;8326;26.08.2019 12:38;5.600.645;2;20348
9250;8676;12.05.2019 09:03;1.926.775;2;21186
9251;9294;23.11.2019 03:23;873.548;2;22714
9252;4562;22.05.2019 07:29;1.421.468;2;5860
9253;6667;2.03.2020 22:31;4.493.638;2;16285
9254;2158;17.12.2019 17:17;16.535.071;2;10495
9255;3192;17.08.2019 10:40;2.725.222;2;13013
9256;7664;23.09.2019 13:59;5.506.344;2;18731
9257;7925;1.01.2019 22:16;5.613.839;2;19371
9258;5607;24.09.2019 01:32;8.769.884;2;8508
9259;2074;22.04.2019 18:44;5.787.162;2;5050
9260;4380;24.02.2019 03:13;2.188.772;2;5420
9261;5802;29.01.2020 16:02;897.755;2;8977
9262;8892;19.03.2019 04:17;798.585;2;21716
9263;3297;8.06.2019 07:11;3.477.429;2;13284
9264;5174;26.08.2019 21:01;1.282.923;2;7405
9265;4064;30.01.2019 09:24;951.074;2;15140
9266;3307;26.02.2020 06:51;1.375.172;2;13306
9267;6841;28.02.2019 18:08;9.936.773;2;16700
9268;4263;13.03.2019 10:57;4.277.914;2;15606
9269;9395;25.08.2019 08:44;5.635.935;2;22962
9270;3807;7.03.2019 23:19;5.053.903;2;14512
9271;7613;14.08.2019 10:41;1.853.165;2;18603
9272;6769;25.05.2019 18:25;6.380.621;2;16513
9273;6355;31.05.2019 13:11;1.257.228;2;10307
9274;3348;24.03.2019 15:28;4.907.041;2;13389
9275;4664;29.01.2020 01:34;2.523.905;2;6098
9276;5090;1.10.2019 10:38;1.716.834;2;7188
9277;2377;27.01.2019 08:34;9.453.562;2;11034
9278;5200;20.03.2019 13:04;5.405.187;2;7466
9279;1479;25.02.2019 17:00;1.683.458;2;3579
9280;4441;17.04.2019 18:10;3.294.575;2;5565
9281;3808;6.02.2019 16:18;4.890.409;2;14515
9282;9235;31.07.2019 16:04;3.053.423;2;22571
9283;4146;12.07.2019 16:13;5.311.039;2;15338
9284;1261;13.04.2019 03:44;16.983.922;2;3036
9285;2079;18.04.2019 08:25;1.878.534;2;5064
9286;6971;1.05.2019 23:17;5.213.105;2;17005
9287;1360;18.05.2019 03:39;7.429.267;2;3284
9288;5900;26.10.2019 20:13;4.695.571;2;9216
9289;6436;2.02.2019 14:30;1.833.377;2;15745
9290;2128;17.01.2019 03:46;787.720;2;5181
9291;7525;19.10.2019 15:17;3.819.698;2;18372
9292;5734;25.02.2020 15:11;10.487.063;2;8791
9293;8902;18.11.2019 17:36;6.873.589;2;21740
9294;155;12.01.2019 17:53;8.244.146;2;353
9295;2650;16.10.2019 00:04;190.716;2;11723
9296;2081;29.04.2019 12:53;6.401.175;2;5068
9297;8581;21.02.2020 21:37;4.166.186;2;20976
9298;5637;5.11.2019 09:28;2.985.368;2;8574
9299;6659;17.04.2019 20:45;1.980.765;2;16263
9300;3636;26.07.2019 19:07;5.466.186;2;14089
9301;9534;19.01.2019 17:34;6.684.527;2;23320
9302;7323;19.08.2019 04:53;1.395.965;2;17856
9303;2818;13.05.2019 06:00;3.800.872;2;12123
9304;1613;25.01.2019 13:15;10.775.232;2;3914
9305;4655;13.07.2019 05:12;2.685.708;2;6074
9306;6874;29.12.2019 21:46;3.449.349;2;16773
9307;4701;15.11.2019 00:49;5.690.566;2;6190
9308;8696;24.04.2019 21:07;5.418.853;2;21237
9309;2302;28.01.2019 19:26;12.772;2;10849
9310;6491;8.10.2019 23:39;7.652.134;2;15873
9311;1890;30.05.2019 00:41;14.674.492;2;4572
9312;4924;19.06.2019 07:13;895.667;2;6745
9313;7536;4.04.2019 14:06;8.342.126;2;18400
9314;1786;23.01.2019 18:10;3.600.111;2;4327
9315;1066;3.01.2020 20:10;3.352.138;2;2561
9316;7746;18.07.2019 17:04;4.677.210;2;18937
9317;5508;27.12.2019 06:47;480.223;2;8255
9318;1717;9.03.2019 08:27;6.638.892;2;4144
9319;283;9.04.2019 09:32;4.291.588;2;650
9320;2221;12.05.2019 12:24;3.713.195;2;10652
9321;987;7.10.2019 04:40;10.490.555;2;2366
9322;3716;4.07.2019 08:56;648.821;2;14291
9323;2738;14.02.2020 07:12;827.821;2;11926
9324;8808;29.05.2019 00:57;4.212.016;2;21529
9325;5898;9.08.2019 07:12;4.030.128;2;9212
9326;8482;15.06.2019 01:26;10.938.839;2;20729
9327;7098;2.01.2020 06:26;3.251.117;2;17319
9328;2768;14.04.2019 07:57;1.038.810;2;11997
9329;3450;25.01.2019 00:16;2.699.888;2;13637
9330;5286;14.01.2020 18:00;6.125.053;2;7653
9331;2331;22.04.2019 15:32;3.488.758;2;10921
9332;7525;26.04.2019 16:01;6.452.677;2;18373
9333;6106;2.10.2019 07:53;181.539;2;9719
9334;9157;10.12.2019 10:05;6.008.220;2;22367
9335;4289;23.01.2020 23:20;357.733;2;15684
9336;519;10.01.2020 04:08;8.594.626;2;1225
9337;9149;23.05.2019 13:02;168.434;2;22346
9338;4988;3.02.2020 23:06;9.376.919;2;6919
9339;8236;12.03.2019 21:26;3.179.321;2;20126
9340;9509;27.09.2019 12:48;189.355;2;23265
9341;7876;27.07.2019 05:55;1.306.547;2;19254
9342;7099;23.01.2019 23:21;942.448;2;24546
9343;8988;27.01.2019 03:37;1.581.214;2;21971
9344;1466;30.08.2019 10:54;337.521;2;3546
9345;9542;7.11.2019 18:42;10.702.300;2;23338
9346;1583;28.03.2019 21:55;2.011.558;2;3848
9347;2347;1.01.2020 16:38;9.220.665;2;10960
9348;6480;28.10.2019 14:54;7.919.431;2;15846
9349;8877;8.09.2019 01:51;1.793.983;2;21685
9350;6618;15.09.2019 00:52;8.437.378;2;16161
9351;9040;5.07.2019 17:23;3.755.985;2;22098
9352;3348;11.01.2020 17:51;11.762.138;2;13389
9353;2967;26.09.2019 12:52;10.470.747;2;12461
9354;5183;17.06.2019 08:39;4.636.995;2;7428
9355;9570;14.03.2019 09:51;635.280;2;23415
9356;8659;15.09.2019 22:34;10.469.378;2;21143
9357;6608;5.01.2019 14:41;3.321.648;2;16142
9358;7507;28.06.2019 05:25;7.582.444;2;18329
9359;6166;25.05.2019 02:02;980.187;2;9865
9360;5557;7.02.2020 16:23;4.829.332;2;8383
9361;331;1.02.2020 19:24;2.778.266;2;756
9362;3780;16.05.2019 14:41;6.472.845;2;14448
9363;4206;10.04.2019 16:41;114.805;2;15476
9364;3483;14.10.2019 13:38;3.258.739;2;13713
9365;9227;21.01.2020 23:21;2.160.175;2;22555
9366;6149;9.03.2019 21:27;1.577.987;2;9821
9367;7698;12.06.2019 17:28;6.832.106;2;18824
9368;658;10.10.2019 00:38;2.714.078;2;1559
9369;2984;1.06.2019 23:57;5.632.143;2;12502
9370;8251;17.11.2019 06:38;3.818.595;2;20164
9371;915;17.01.2019 22:13;1.244.050;2;2192
9372;1505;17.12.2019 03:25;3.030.877;2;3638
9373;9527;20.09.2019 10:20;1.924.942;2;23303
9374;2318;4.09.2019 12:02;11.682.002;2;10893
9375;4269;23.01.2020 22:12;747.267;2;15625
9376;7842;20.04.2019 04:54;2.171.426;2;19165
9377;4622;25.03.2019 16:07;2.737.207;2;5994
9378;363;18.06.2019 07:17;8.170.229;2;831
9379;785;17.03.2019 11:10;3.357.180;2;1872
9380;3498;14.10.2019 13:14;3.446.539;2;13752
9381;9572;30.04.2019 02:18;6.219.025;2;23417
9382;902;10.02.2019 04:19;103.020;2;2165
9383;5788;10.05.2019 00:46;14.240.633;2;8933
9384;2821;5.01.2020 08:58;1.285.186;2;12127
9385;6225;11.10.2019 05:52;3.548.515;2;10007
9386;136;1.12.2019 02:15;768.823;2;315
9387;5270;8.09.2019 23:20;3.041.143;2;7621
9388;6759;28.09.2019 01:30;744.607;2;16489
9389;1749;20.07.2019 23:47;2.145.487;2;4227
9390;7380;9.11.2019 13:31;820.992;2;18016
9391;4842;2.01.2019 07:35;2.796.809;2;6544
9392;6187;1.10.2019 01:11;16.024.035;2;9915
9393;8568;9.01.2019 21:17;5.466.303;2;20941
9394;4333;17.01.2019 14:16;1.332.203;2;5309
9395;1268;22.02.2020 17:54;672.927;2;3053
9396;4067;19.08.2019 02:26;1.932.080;2;15143
9397;7029;23.03.2019 03:34;507.613;2;17146
9398;1890;1.07.2019 21:59;2.242.520;2;4572
9399;3910;10.10.2019 16:56;302.432;2;14765
9400;3863;6.03.2019 12:17;494.043;2;14656
9401;9466;15.04.2019 07:32;1.180.569;2;23143
9402;4981;18.03.2019 03:08;6.737.829;2;6899
9403;3329;30.08.2019 18:56;3.752.694;2;13353
9404;5596;20.12.2019 12:13;631.156;2;8483
9405;2927;23.04.2019 01:53;8.680.945;2;12359
9406;2008;29.05.2019 15:40;1.054.452;2;4898
9407;8277;24.03.2020 11:48;1.425.806;2;20226
9408;6124;10.07.2019 16:49;12.292.696;2;9760
9409;5635;14.05.2019 15:25;8.407.338;2;8570
9410;6057;7.07.2019 05:05;4.578.151;2;9599
9411;3601;17.11.2019 14:11;1.250.690;2;14002
9412;3401;28.07.2019 14:09;12.487.545;2;13519
9413;4920;9.12.2019 18:34;457.881;2;6737
9414;1566;2.01.2019 08:09;7.379.737;2;3795
9415;6381;4.08.2019 18:47;1.283.807;2;10375
9416;6370;22.02.2020 13:11;3.192.773;2;10347
9417;6834;7.01.2020 18:05;7.944.703;2;16688
9418;872;7.03.2019 23:17;119.575;2;2086
9419;2198;4.08.2019 17:05;5.010.050;2;10591
9420;2090;24.01.2019 19:02;3.181.815;2;5085
9421;5659;26.01.2020 07:00;1.717.839;2;8623
9422;4351;8.02.2020 06:48;10.313.581;2;5355
9423;6530;28.02.2019 19:25;1.269.355;2;15965
9424;4278;16.10.2019 16:39;6.676.542;2;15647
9425;3035;30.06.2019 11:37;1.461.988;2;12635
9426;4400;9.02.2020 09:06;9.089.525;2;5471
9427;2554;10.03.2019 14:26;4.291.631;2;11476
9428;3991;21.01.2019 04:32;369.236;2;14968
9429;2532;11.03.2020 09:38;8.006.957;2;11429
9430;8417;20.12.2019 05:21;5.128.628;2;20569
9431;2217;23.03.2019 17:44;2.629.690;2;10646
9432;6977;4.12.2019 11:18;1.091.159;2;17021
9433;6789;14.09.2019 15:36;6.928.235;2;16570
9434;3944;3.06.2019 06:23;165.574;2;14851
9435;9581;9.08.2019 17:18;9.726.384;2;23439
9436;7018;20.02.2019 16:32;1.360.132;2;17123
9437;8096;6.05.2019 08:30;4.343.663;2;19783
9438;4550;29.01.2019 17:33;3.689.494;2;5834
9439;4920;22.10.2019 01:40;2.502.524;2;6737
9440;9467;8.05.2019 18:24;547.370;2;23146
9441;3178;8.01.2020 15:36;1.092.925;2;12980
9442;6740;8.05.2019 20:53;6.256.372;2;16441
9443;5000;5.11.2019 05:16;8.821.870;2;6947
9444;3969;8.03.2020 07:46;18.156.242;2;14915
9445;9117;13.03.2019 09:14;2.241.338;2;22271
9446;3769;18.12.2019 13:20;989.117;2;14424
9447;4786;17.03.2019 01:10;4.140.424;2;6403
9448;5808;14.01.2020 10:19;5.034.634;2;8994
9449;3823;2.10.2019 22:29;11.884.172;2;14555
9450;7415;7.10.2019 09:03;8.284.800;2;18100
9451;1496;10.02.2019 03:16;7.624.830;2;3622
9452;1357;1.11.2019 18:16;2.944.298;2;3273
9453;2710;16.06.2019 21:01;5.654.946;2;11862
9454;6614;5.01.2019 16:42;2.351.689;2;16154
9455;5580;24.11.2019 10:36;886.126;2;8439
9456;461;26.08.2019 02:08;3.590.659;2;1079
9457;5430;24.08.2019 11:07;7.131.047;2;8046
9458;4333;22.04.2019 00:39;4.432.559;2;5309
9459;8633;28.10.2019 06:41;5.467.062;2;21096
9460;7140;13.04.2019 14:09;5.699.307;2;17419
